iter	Passed	Remaining
652	5355	2846
653	5363	2837
654	5371	2829
655	5377	2819
656	5385	2811
657	5392	2802
658	5400	2794
659	5408	2785
660	5415	2777
661	5424	2769
662	5432	2761
663	5440	2752
664	5448	2744
665	5455	2736
666	5463	2727
667	5471	2719
668	5478	2710
669	5486	2702
670	5493	2693
671	5503	2686
672	5511	2677
673	5518	2669
674	5526	2660
675	5534	2652
676	5541	2643
677	5549	2635
678	5556	2626
679	5564	2618
680	5572	2610
681	5580	2602
682	5588	2593
683	5596	2585
684	5603	2576
685	5610	2568
686	5619	2560
687	5629	2552
688	5637	2544
689	5648	2537
690	5657	2529
691	5665	2521
692	5673	2513
693	5682	2505
694	5690	2497
695	5699	2489
696	5708	2481
697	5715	2473
698	5722	2464
699	5730	2455
700	5737	2447
701	5745	2438
702	5751	2430
703	5759	2421
704	5768	2413
705	5777	2405
706	5785	2397
707	5793	2389
708	5800	2380
709	5808	2372
710	5815	2363
711	5822	2355
712	5830	2346
713	5837	2338
714	5845	2329
715	5852	2321
716	5860	2313
717	5867	2304
718	5876	2296
719	5883	2288
720	5891	2279
721	5899	2271
722	5910	2264
723	5918	2256
724	5926	2247
725	5933	2239
726	5941	2231
727	5949	2222
728	5957	2214
729	5965	2206
730	5974	2198
731	5981	2189
732	5989	2181
733	5997	2173
734	6004	2164
735	6012	2156
736	6019	2148
737	6027	2139
738	6046	2135
739	6056	2128
740	6066	2120
741	6076	2112
742	6083	2104
743	6092	2096
744	6100	2088
745	6107	2079
746	6115	2071
747	6123	2062
748	6131	2054
749	6139	2046
750	6149	2038
751	6156	2030
752	6164	2022
753	6172	2013
754	6180	2005
755	6187	1997
756	6196	1988
757	6203	1980
758	6211	1972
759	6219	1964
760	6227	1955
761	6234	1947
762	6242	1939
763	6250	1930
764	6258	1922
765	6265	1914
766	6273	1905
767	6282	1897
768	6291	1889
769	6299	1881
770	6306	1873
771	6313	1864
772	6322	1856
773	6330	1848
774	6337	1839
775	6345	1831
776	6353	1823
777	6362	1815
778	6369	1807
779	6377	1798
780	6385	1790
781	6394	1782
782	6402	1774
783	6409	1765
784	6416	1757
785	6424	1749
786	6432	1740
787	6440	1732
788	6447	1724
789	6454	1715
790	6462	1707
791	6469	1698
792	6476	1690
793	6484	1682
794	6492	1674
795	6501	1666
796	6509	1658
797	6517	1649
798	6525	1641
799	6532	1633
800	6541	1625
801	6548	1616
802	6556	1608
803	6563	1599
804	6571	1591
805	6579	1583
806	6587	1575
807	6595	1567
808	6603	1558
809	6610	1550
810	6617	1542
811	6625	1533
812	6632	1525
813	6641	1517
814	6648	1509
815	6656	1500
816	6663	1492
817	6670	1484
818	6679	1476
819	6689	1468
820	6696	1460
821	6706	1452
822	6714	1444
823	6722	1435
824	6730	1427
825	6738	1419
826	6745	1411
827	6752	1402
828	6761	1394
829	6769	1386
830	6777	1378
831	6785	1370
832	6792	1361
833	6800	1353
834	6808	1345
835	6815	1337
836	6823	1328
837	6832	1320
838	6839	1312
839	6847	1304
840	6855	1296
841	6863	1287
842	6870	1279
843	6877	1271
844	6885	1263
845	6892	1254
846	6900	1246
847	6908	1238
848	6916	1230
849	6924	1221
850	6931	1213
851	6938	1205
852	6945	1197
853	6952	1188
854	6960	1180
855	6967	1172
856	6974	1163
857	6981	1155
858	6990	1147
859	6997	1139
860	7005	1130
861	7012	1122
862	7020	1114
863	7028	1106
864	7036	1098
865	7045	1090
866	7052	1081
867	7060	1073
868	7068	1065
869	7075	1057
870	7083	1049
871	7092	1041
872	7100	1032
873	7107	1024
874	7115	1016
875	7123	1008
876	7130	1000
877	7138	991
878	7144	983
879	7152	975
880	7160	967
881	7167	958
882	7176	950
883	7183	942
884	7191	934
885	7198	926
886	7206	918
887	7213	909
888	7220	901
889	7228	893
890	7236	885
891	7244	877
892	7250	868
893	7258	860
894	7265	852
895	7272	844
896	7280	835
897	7288	827
898	7296	819
899	7304	811
900	7311	803
901	7319	795
902	7326	787
903	7334	778
904	7342	770
905	7351	762
906	7358	754
907	7367	746
908	7386	739
909	7396	731
910	7406	723
911	7415	715
912	7425	707
913	7436	699
914	7444	691
915	7454	683
916	7465	675
917	7474	667
918	7486	659
919	7500	652
920	7510	644
921	7520	636
922	7529	628
923	7539	620
924	7547	611
925	7554	603
926	7562	595
927	7570	587
928	7577	579
929	7584	570
930	7591	562
931	7599	554
932	7607	546
933	7614	538
934	7622	529
935	7629	521
936	7637	513
937	7645	505
938	7653	497
939	7661	489
940	7669	480
941	7675	472
942	7684	464
943	7691	456
944	7698	448
945	7706	439
946	7713	431
947	7721	423
948	7728	415
949	7736	407
950	7744	399
951	7752	390
952	7760	382
953	7768	374
954	7777	366
955	7786	358
956	7793	350
957	7801	342
958	7809	333
959	7816	325
960	7824	317
961	7832	309
962	7839	301
963	7846	293
964	7855	284
965	7862	276
966	7870	268
967	7878	260
968	7888	252
969	7896	244
970	7902	236
971	7910	227
972	7917	219
973	7924	211
974	7932	203
975	7940	195
976	7947	187
977	7955	178
978	7962	170
979	7971	162
980	7979	154
981	7987	146
982	7995	138
983	8005	130
984	8013	122
985	8021	113
986	8029	105
987	8038	97
988	8047	89
989	8054	81
990	8061	73
991	8068	65
992	8076	56
993	8084	48
994	8092	40
995	8100	32
996	8108	24
997	8114	16
998	8122	8
999	8129	0
